,categories
6914,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
6915,"[{'alias': 'cafes', 'title': 'Cafes'}]"
6916,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6918,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
6919,"[{'alias': 'thai', 'title': 'Thai'}]"
6920,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6923,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
6925,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]"
6926,"[{'alias': 'chinese', 'title': 'Chinese'}]"
6930,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6932,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
6933,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
6934,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6936,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bagels', 'title': 'Bagels'}]"
6937,"[{'alias': 'pizza', 'title': 'Pizza'}]"
6938,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6939,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6943,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
6944,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
6945,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
6946,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
6947,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'appliances', 'title': 'Appliances'}]"
6948,"[{'alias': 'japanese', 'title': 'Japanese'}]"
6951,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6952,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
6953,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}]"
6954,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
6955,"[{'alias': 'chinese', 'title': 'Chinese'}]"
6957,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
6961,"[{'alias': 'falafel', 'title': 'Falafel'}]"
6962,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
6964,"[{'alias': 'localflavor', 'title': 'Local Flavor'}]"
6965,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
6967,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
6969,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}]"
6970,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
6975,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
6976,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6978,[]
6980,"[{'alias': 'lounges', 'title': 'Lounges'}]"
6981,"[{'alias': 'foodstands', 'title': 'Food Stands'}]"
6982,"[{'alias': 'cafes', 'title': 'Cafes'}]"
6983,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
6987,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'mexican', 'title': 'Mexican'}]"
6988,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
6990,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
6995,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
6996,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
6998,"[{'alias': 'pizza', 'title': 'Pizza'}]"
7001,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
7002,"[{'alias': 'thai', 'title': 'Thai'}]"
7004,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7006,"[{'alias': 'bars', 'title': 'Bars'}]"
7009,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7011,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]"
7013,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
7014,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7015,"[{'alias': 'mexican', 'title': 'Mexican'}]"
7016,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
7020,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}]"
7023,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7025,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'cafes', 'title': 'Cafes'}]"
7027,"[{'alias': 'italian', 'title': 'Italian'}]"
7034,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
7035,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7043,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]"
7045,"[{'alias': 'italian', 'title': 'Italian'}]"
7047,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7049,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
7052,"[{'alias': 'localflavor', 'title': 'Local Flavor'}]"
7053,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7058,"[{'alias': 'cafes', 'title': 'Cafes'}]"
7063,"[{'alias': 'delis', 'title': 'Delis'}]"
7066,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7068,"[{'alias': 'caribbean', 'title': 'Caribbean'}]"
7071,"[{'alias': 'seafood', 'title': 'Seafood'}]"
7076,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'healthmarkets', 'title': 'Health Markets'}]"
7077,"[{'alias': 'chinese', 'title': 'Chinese'}]"
7091,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'salad', 'title': 'Salad'}]"
7097,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7100,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'lounges', 'title': 'Lounges'}]"
7103,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'media', 'title': 'Books, Mags, Music & Video'}]"
7106,"[{'alias': 'pubs', 'title': 'Pubs'}]"
7109,"[{'alias': 'delicatessen', 'title': 'Delicatessen'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'importedfood', 'title': 'Imported Food'}]"
7127,"[{'alias': 'meats', 'title': 'Meat Shops'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]"
7128,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]"
7136,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7138,"[{'alias': 'indpak', 'title': 'Indian'}]"
7149,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}]"
7151,"[{'alias': 'japanese', 'title': 'Japanese'}]"
7155,"[{'alias': 'dimsum', 'title': 'Dim Sum'}]"
7159,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
7160,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7165,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
7171,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]"
7175,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
7181,"[{'alias': 'bbq', 'title': 'Barbeque'}]"
7197,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
7198,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]"
7209,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
7212,"[{'alias': 'korean', 'title': 'Korean'}]"
7223,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}]"
7241,"[{'alias': 'greek', 'title': 'Greek'}]"
7264,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
7274,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
7281,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]"
7285,"[{'alias': 'filipino', 'title': 'Filipino'}]"
7286,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
7290,"[{'alias': 'food_court', 'title': 'Food Court'}, {'alias': 'importedfood', 'title': 'Imported Food'}]"
7291,"[{'alias': 'pubs', 'title': 'Pubs'}]"
7292,"[{'alias': 'pubs', 'title': 'Pubs'}]"
7300,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'bars', 'title': 'Bars'}]"
7302,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
7303,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7305,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7307,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
7309,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}]"
7315,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
7318,"[{'alias': 'thai', 'title': 'Thai'}]"
7324,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
7325,"[{'alias': 'indpak', 'title': 'Indian'}]"
7328,"[{'alias': 'yelpevents', 'title': 'Yelp Events'}]"
7331,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7337,"[{'alias': 'french', 'title': 'French'}]"
7340,"[{'alias': 'seafood', 'title': 'Seafood'}]"
7341,"[{'alias': 'mexican', 'title': 'Mexican'}]"
7342,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7345,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'delis', 'title': 'Delis'}]"
7349,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
7355,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'italian', 'title': 'Italian'}]"
7358,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]"
7360,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7363,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'pubs', 'title': 'Pubs'}]"
7365,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
7366,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'french', 'title': 'French'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
7369,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
7373,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
7378,"[{'alias': 'italian', 'title': 'Italian'}]"
7381,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
7382,"[{'alias': 'pizza', 'title': 'Pizza'}]"
7388,"[{'alias': 'french', 'title': 'French'}]"
7391,"[{'alias': 'italian', 'title': 'Italian'}]"
7396,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7397,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
7406,"[{'alias': 'diners', 'title': 'Diners'}]"
7408,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
7410,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]"
7423,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7438,"[{'alias': 'chinese', 'title': 'Chinese'}]"
7442,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]"
7450,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'indonesian', 'title': 'Indonesian'}]"
7460,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7461,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'buffets', 'title': 'Buffets'}]"
7466,"[{'alias': 'japanese', 'title': 'Japanese'}]"
7471,"[{'alias': 'korean', 'title': 'Korean'}]"
7472,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]"
7481,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7484,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7489,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7493,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]"
7495,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
7498,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]"
7501,"[{'alias': 'chinese', 'title': 'Chinese'}]"
7503,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]"
7505,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
7507,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
7518,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
7528,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
7538,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
7546,"[{'alias': 'chinese', 'title': 'Chinese'}]"
7561,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
7562,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'poke', 'title': 'Poke'}]"
7607,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'persian', 'title': 'Persian/Iranian'}, {'alias': 'halal', 'title': 'Halal'}]"
7608,"[{'alias': 'korean', 'title': 'Korean'}]"
7734,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]"
7806,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
7817,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]"
7828,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
7839,"[{'alias': 'pubs', 'title': 'Pubs'}]"
7872,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
